Order_ID,Order_Date,Region,Product,Category,Quantity,Unit_Price,Discount,Sales,Profit
ORD1001,2025-01-01 00:00:00.000000000,Hyderabad,Mouse,Accessories,2,900,0.0,1800.0,395.05
ORD1002,2025-01-04 01:24:42.352941176,Mumbai,Headphones,Accessories,1,2500,0.0,2500.0,476.88
ORD1003,2025-01-07 02:49:24.705882352,Mumbai,Keyboard,Accessories,7,1800,0.05,11970.0,1378.18
ORD1004,2025-01-10 04:14:07.058823529,Bengaluru,Headphones,Accessories,7,2500,0.05,16625.0,2104.28
ORD1005,2025-01-13 05:38:49.411764705,Mumbai,Headphones,Accessories,6,2500,0.05,14250.0,1659.84
ORD1006,2025-01-16 07:03:31.764705882,Pune,Monitor,Electronics,5,18000,0.0,90000.0,12972.06
ORD1007,2025-01-19 08:28:14.117647058,Hyderabad,Keyboard,Accessories,3,1800,0.05,5130.0,444.38
ORD1008,2025-01-22 09:52:56.470588235,Delhi,Keyboard,Accessories,4,1800,0.05,6840.0,1266.11
ORD1009,2025-01-25 11:17:38.823529411,Mumbai,Keyboard,Accessories,6,1800,0.0,10800.0,1481.91
ORD1010,2025-01-28 12:42:21.176470588,Pune,Headphones,Accessories,3,2500,0.0,7500.0,1436.05
ORD1011,2025-01-31 14:07:03.529411764,Delhi,Mouse,Accessories,3,900,0.0,2700.0,392.9
ORD1012,2025-02-03 15:31:45.882352941,Hyderabad,Keyboard,Accessories,1,1800,0.1,1620.0,317.32
ORD1013,2025-02-06 16:56:28.235294117,Delhi,Printer,Office Equipment,3,12000,0.05,34200.0,4716.39
ORD1014,2025-02-09 18:21:10.588235294,Pune,Headphones,Accessories,5,2500,0.15,10625.0,1320.88
ORD1015,2025-02-12 19:45:52.941176470,Delhi,Monitor,Electronics,7,18000,0.0,126000.0,20705.12
ORD1016,2025-02-15 21:10:35.294117647,Bengaluru,Mouse,Accessories,6,900,0.1,4860.0,961.27
ORD1017,2025-02-18 22:35:17.647058823,Delhi,Printer,Office Equipment,3,12000,0.1,32400.0,4510.64
ORD1018,2025-02-22 00:00:00.000000000,Mumbai,Printer,Office Equipment,1,12000,0.0,12000.0,2870.76
ORD1019,2025-02-25 01:24:42.352941176,Mumbai,Monitor,Electronics,5,18000,0.05,85500.0,7409.57
ORD1020,2025-02-28 02:49:24.705882353,Bengaluru,Mouse,Accessories,2,900,0.05,1710.0,258.3
ORD1021,2025-03-03 04:14:07.058823529,Pune,Headphones,Accessories,7,2500,0.1,15750.0,3850.7
